SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;L/100K;
772 ;17:22,40 ;8856 ;33 ;100;41;0,751 ;0,0 ;47,4 ;47,6 ;9,8 ;1,000 ;0 ;5,66 ;11,8 ;-59 ;0 ;0 ;0,0;
772 ;17:22,50 ;9218 ;33 ;99;41;0,736 ;0,0 ;48,7 ;49,1 ;0,9 ;1,000 ;0 ;6,15 ;11,7 ;-73 ;0 ;0 ;0,0;
772 ;17:22,60 ;9512 ;34 ;99;42;0,793 ;0,0 ;50,0 ;51,0 ;22,7 ;1,000 ;0 ;6,16 ;11,9 ;-40 ;0 ;0 ;0,0;
772 ;17:22,70 ;9654 ;34 ;99;45;0,984 ;0,0 ;51,4 ;52,9 ;22,7 ;1,000 ;0 ;6,26 ;11,9 ;-41 ;0 ;0 ;0,0;
772 ;17:22,80 ;9910 ;36 ;99;55;1,052 ;0,0 ;52,0 ;54,5 ;381,8 ;1,000 ;0 ;5,67 ;11,8 ;162 ;0 ;0 ;0,0;
772 ;17:22,90 ;9952 ;77 ;98;78;1,083 ;0,0 ;49,4 ;53,3 ;7,1 ;1,000 ;0 ;4,33 ;11,9 ;-62 ;0 ;0 ;0,0;
772 ;17:23,00 ;9816 ;77 ;98;79;1,136 ;0,0 ;46,1 ;52,2 ;77,2 ;1,000 ;0 ;5,89 ;11,8 ;26 ;0 ;0 ;0,0;
772 ;17:23,10 ;9422 ;76 ;98;80;1,107 ;0,0 ;43,3 ;51,1 ;27,0 ;1,000 ;0 ;5,86 ;11,9 ;-23 ;0 ;0 ;0,0;
772 ;17:23,20 ;9071 ;74 ;98;78;0,875 ;0,0 ;41,0 ;47,9 ;20,2 ;1,000 ;0 ;5,67 ;11,8 ;-33 ;0 ;0 ;0,0;
772 ;17:23,30 ;8553 ;68 ;98;75;0,806 ;0,0 ;39,9 ;44,4 ;47,1 ;1,000 ;0 ;5,33 ;11,7 ;12 ;0 ;0 ;0,0;
772 ;17:23,40 ;7881 ;47 ;97;70;0,816 ;0,0 ;39,8 ;42,6 ;41,7 ;1,000 ;0 ;5,06 ;11,4 ;5 ;0 ;0 ;0,0;
772 ;17:23,50 ;7615 ;46 ;97;71;0,810 ;0,0 ;39,9 ;41,4 ;40,7 ;1,000 ;0 ;4,95 ;11,7 ;2 ;0 ;0 ;0,0;
772 ;17:23,60 ;7461 ;45 ;97;73;0,792 ;0,0 ;39,0 ;38,2 ;39,8 ;1,000 ;0 ;4,83 ;11,9 ;-1 ;0 ;0 ;0,0;
772 ;17:23,70 ;7205 ;45 ;97;72;0,791 ;0,0 ;38,4 ;37,8 ;39,1 ;1,000 ;0 ;4,85 ;12,0 ;0 ;0 ;0 ;0,0;
