SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;
784 ;4:41,40 ;5905 ;27 ;99;63;0,500 ;31,2 ;0,0 ;30,9 ;26,1 ;1,000 ;0 ;4,60 ;4,10 ;12,0 ;-12 ;0 ;0 ;
784 ;4:41,50 ;5498 ;22 ;99;60;0,501 ;31,6 ;0,0 ;31,1 ;26,1 ;1,000 ;0 ;4,62 ;3,81 ;11,8 ;-13 ;0 ;0 ;
784 ;4:41,60 ;5358 ;17 ;99;53;0,500 ;31,8 ;0,0 ;31,1 ;26,3 ;1,000 ;0 ;4,51 ;3,80 ;11,8 ;-13 ;0 ;0 ;
784 ;4:41,70 ;5415 ;13 ;99;47;0,500 ;32,6 ;0,0 ;32,1 ;26,1 ;1,000 ;0 ;4,60 ;3,84 ;11,9 ;-15 ;0 ;0 ;
784 ;4:41,80 ;5585 ;12 ;99;45;0,500 ;33,4 ;0,0 ;32,8 ;26,2 ;1,000 ;0 ;4,66 ;4,09 ;11,7 ;-16 ;0 ;0 ;
784 ;4:41,90 ;5605 ;12 ;99;41;0,500 ;33,7 ;0,0 ;33,2 ;27,8 ;1,000 ;0 ;4,59 ;4,05 ;11,8 ;-13 ;0 ;0 ;
784 ;4:42,00 ;5832 ;12 ;99;38;0,500 ;33,6 ;0,0 ;33,2 ;46,6 ;1,000 ;0 ;4,58 ;4,14 ;12,0 ;8 ;0 ;0 ;
784 ;4:42,10 ;5986 ;12 ;99;37;0,500 ;33,6 ;0,0 ;33,2 ;30,2 ;1,000 ;0 ;4,65 ;4,27 ;11,8 ;-8 ;0 ;0 ;
784 ;4:42,20 ;6069 ;12 ;99;36;0,500 ;33,2 ;0,0 ;32,6 ;31,9 ;1,000 ;0 ;4,60 ;4,26 ;12,0 ;-3 ;0 ;0 ;
784 ;4:42,30 ;6127 ;12 ;99;35;0,500 ;33,2 ;0,0 ;33,3 ;32,9 ;1,000 ;0 ;4,56 ;4,42 ;11,8 ;0 ;0 ;0 ;
784 ;4:42,40 ;6334 ;12 ;99;33;0,501 ;33,8 ;0,0 ;33,9 ;34,0 ;1,000 ;0 ;4,61 ;4,57 ;11,9 ;0 ;0 ;0 ;
784 ;4:42,50 ;6521 ;12 ;99;32;0,501 ;34,3 ;0,0 ;34,2 ;35,0 ;1,000 ;0 ;4,63 ;4,72 ;11,8 ;0 ;0 ;0 ;
784 ;4:42,60 ;6665 ;12 ;99;30;0,500 ;35,2 ;0,0 ;35,1 ;3,7 ;1,000 ;0 ;4,62 ;4,88 ;12,0 ;-67 ;0 ;0 ;
784 ;4:42,70 ;6888 ;12 ;99;29;0,500 ;36,2 ;0,0 ;36,5 ;7,5 ;1,000 ;0 ;4,61 ;4,84 ;11,8 ;-59 ;0 ;0 ;
784 ;4:42,80 ;7009 ;12 ;99;28;0,500 ;37,5 ;0,0 ;37,2 ;4,7 ;1,000 ;0 ;4,59 ;4,98 ;11,9 ;-65 ;0 ;0 ;
784 ;4:42,90 ;7186 ;12 ;99;26;0,500 ;38,5 ;0,0 ;38,6 ;2,8 ;1,000 ;0 ;4,60 ;5,23 ;11,8 ;-69 ;0 ;0 ;
