																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	7300	36,83	38,53	39,42	37,93	49,08	47,22	96,18	11,66	1061	1867		46,2	1,701	1,701	0	37,07	1,023	8,584	0	26,05
	7350	37,49	39,21	40,12	38,33	49,84	47,62	96,84	11,76	1072	1848		46,59	1,724	1,724	0	37,46	1,023	8,584	0	26,05
	7400	38,16	39,9	40,83	38,75	50,62	48,04	97,5	11,86	1084	1829		47	1,747	1,747	0	37,87	1,023	8,584	0	26,05
	7450	39,03	40,8	41,74	39,35	51,59	48,64	98,16	11,97	1100	1812		47,58	1,77	1,77	0	38,46	1,023	8,584	0	26,05
	7500	39,91	41,7	42,67	39,96	52,59	49,25	98,81	12,07	1117	1794		48,18	1,793	1,793	0	39,05	1,023	8,584	0	26,05
	7550	40,91	42,72	43,71	40,66	53,7	49,95	99,47	12,17	1137	1775		48,87	1,817	1,817	0	39,74	1,023	8,584	0	26,05
	7600	41,91	43,75	44,77	41,37	54,82	50,66	100,1	12,27	1157	1757		49,56	1,841	1,841	0	40,43	1,023	8,584	0	26,05
	7650	42,95	44,81	45,85	42,09	55,96	51,38	100,8	12,38	1177	1735		50,27	1,865	1,865	0	41,14	1,023	8,584	0	26,05
	7700	44	45,89	46,96	42,83	57,14	52,12	101,4	12,49	1198	1715		50,99	1,889	1,889	0	41,86	1,023	8,584	0	26,05
	7750	45,12	47,03	48,12	43,6	58,36	52,89	102,1	12,6	1219	1696		51,74	1,914	1,914	0	42,62	1,023	8,584	0	26,05
	7800	46,27	48,21	49,33	44,41	59,64	53,7	102,8	12,71	1242	1675		52,54	1,939	1,939	0	43,41	1,023	8,584	0	26,05
	7850	47,48	49,45	50,59	45,26	60,97	54,55	103,4	12,82	1266	1654		53,37	1,964	1,964	0	44,24	1,023	8,584	0	26,05
	7900	48,71	50,7	51,87	46,11	62,31	55,39	104,1	12,93	1290	1633		54,19	1,989	1,989	0	45,07	1,023	8,584	0	26,05
	7950	49,93	51,95	53,15	46,96	63,66	56,24	104,7	13,05	1313	1612		55,02	2,014	2,014	0	45,89	1,023	8,584	0	26,05
	8000	51,01	53,05	54,28	47,65	64,85	56,93	105,4	13,16	1332	1590		55,7	2,04	2,04	0	46,57	1,023	8,584	0	26,05
	8050	52,02	54,09	55,34	48,28	65,98	57,56	106,1	13,28	1350	1569		56,32	2,065	2,065	0	47,19	1,023	8,584	0	26,05
	8100	52,86	54,95	56,22	48,75	66,93	58,03	106,7	13,4	1363	1548		56,77	2,092	2,092	0	47,65	1,023	8,584	0	26,05
	8150	53,69	55,81	57,1	49,21	67,87	58,49	107,4	13,52	1376	1531		57,22	2,118	2,118	0	48,09	1,023	8,584	0	26,05
	8200	54,52	56,66	57,98	49,66	68,81	58,94	108	13,64	1389	1517		57,66	2,144	2,144	0	48,53	1,023	8,584	0	26,05
	8250	55,39	57,56	58,9	50,14	69,8	59,42	108,7	13,76	1402	1514		58,13	2,171	2,171	0	49	1,023	8,584	0	26,05
	8300	56,23	58,43	59,78	50,59	70,75	59,87	109,4	13,88	1415	1513		58,57	2,198	2,198	0	49,44	1,023	8,584	0	26,05
	8350	56,91	59,14	60,51	50,9	71,54	60,17	110	14	1423	1513		58,87	2,225	2,225	0	49,74	1,023	8,584	0	26,05
	8400	57,41	59,67	61,05	51,04	72,14	60,32	110,7	14,12	1427	1505		59,02	2,252	2,252	0	49,89	1,023	8,584	0	26,05
	8450	57,75	60,03	61,42	51,05	72,58	60,33	111,3	14,24	1428	1489		59,02	2,280	2,280	0	49,9	1,023	8,584	0	26,05
	8500	58,13	60,44	61,84	51,1	73,07	60,37	112	14,37	1429	1483		59,07	2,308	2,308	0	49,94	1,023	8,584	0	26,05
	8550	58,57	60,9	62,32	51,19	73,61	60,47	112,6	14,5	1432	1486		59,16	2,336	2,336	0	50,03	1,023	8,584	0	26,05
	8600	59,11	61,48	62,9	51,37	74,26	60,65	113,3	14,61	1437	1501		59,33	2,364	2,364	0	50,21	1,023	8,584	0	26,05
	8650	59,46	61,85	63,29	51,39	74,71	60,67	114	14,73	1437	1508		59,35	2,393	2,393	0	50,22	1,023	8,584	0	26,05
	8700	59,7	62,13	63,56	51,32	75,06	60,59	114,6	14,85	1435	1510		59,28	2,421	2,421	0	50,15	1,023	8,584	0	26,05
	8750	59,77	62,22	63,67	51,1	75,22	60,38	115,3	14,98	1429	1517		59,08	2,45	2,45	0	49,95	1,023	8,584	0	26,05
	8800	59,79	62,27	63,72	50,85	75,34	60,13	115,9	15,1	1422	1522		58,83	2,48	2,48	0	49,7	1,023	8,584	0	26,05
	8850	59,73	62,24	63,68	50,54	75,38	59,82	116,6	15,21	1413	1524		58,53	2,509	2,509	0	49,4	1,023	8,584	0	26,05
	8900	59,68	62,22	63,67	50,24	75,42	59,52	117,3	15,34	1405	1528		58,23	2,539	2,539	0	49,11	1,023	8,584	0	26,05
	8950	59,65	62,22	63,66	49,96	75,48	59,23	117,9	15,46	1397	1533		57,95	2,569	2,569	0	48,82	1,023	8,584	0	26,05
	9000	59,7	62,29	63,74	49,74	75,63	59,02	118,6	15,57	1391	1544		57,74	2,599	2,599	0	48,61	1,023	8,584	0	26,05
	9050	59,73	62,36	63,81	49,52	75,76	58,8	119,2	15,69	1385	1554		57,53	2,629	2,629	0	48,4	1,023	8,584	0	26,05
	9100	59,74	62,4	63,84	49,28	75,87	58,56	119,9	15,81	1378	1563		57,29	2,66	2,66	0	48,16	1,023	8,584	0	26,05
	9150	59,76	62,46	63,9	49,05	75,99	58,33	120,6	15,92	1372	1569		57,07	2,691	2,691	0	47,94	1,023	8,584	0	26,05
	9200	59,81	62,53	63,98	48,84	76,13	58,12	121,2	16,04	1366	1574		56,86	2,722	2,722	0	47,74	1,023	8,584	0	26,05
	9250	59,97	62,73	64,18	48,73	76,4	58,01	121,9	16,16	1363	1585		56,76	2,753	2,753	0	47,63	1,023	8,584	0	26,05
	9300	60,2	62,99	64,45	48,67	76,74	57,95	122,5	16,27	1361	1600		56,7	2,785	2,785	0	47,57	1,023	8,584	0	26,05
	9350	60,6	63,42	64,89	48,74	77,24	58,02	123,2	16,38	1363	1624		56,76	2,817	2,817	0	47,64	1,023	8,584	0	26,05
	9400	60,92	63,77	65,25	48,75	77,67	58,03	123,8	16,49	1363	1640		56,77	2,849	2,849	0	47,65	1,023	8,584	0	26,05
	9450	61,07	63,95	65,43	48,63	77,92	57,91	124,5	16,6	1360	1637		56,66	2,882	2,882	0	47,53	1,023	8,584	0	26,05
	9500	61,26	64,17	65,66	48,54	78,21	57,82	125,2	16,72	1358	1634		56,57	2,914	2,914	0	47,44	1,023	8,584	0	26,05
	9550	61,49	64,44	65,93	48,49	78,55	57,77	125,8	16,83	1356	1630		56,52	2,947	2,947	0	47,39	1,023	8,584	0	26,05
	9600	61,94	64,92	66,42	48,6	79,11	57,88	126,5	16,94	1359	1640		56,62	2,98	2,98	0	47,5	1,023	8,584	0	26,05
	9650	62,45	65,46	66,98	48,75	79,73	58,03	127,1	17,05	1363	1653		56,77	3,013	3,013	0	47,64	1,023	8,584	0	26,05
	9700	62,8	65,85	67,38	48,79	80,19	58,07	127,8	17,16	1364	1656		56,81	3,047	3,047	0	47,68	1,023	8,584	0	26,05
	9750	63,13	66,22	67,75	48,8	80,63	58,08	128,5	17,27	1365	1657		56,83	3,081	3,081	0	47,7	1,023	8,584	0	26,05
	9800	63,31	66,43	67,96	48,71	80,91	57,99	129,1	17,38	1362	1647		56,73	3,115	3,115	0	47,61	1,023	8,584	0	26,05
	9850	63,47	66,62	68,17	48,61	81,18	57,89	129,8	17,5	1359	1635		56,63	3,15	3,15	0	47,51	1,023	8,584	0	26,05
	9900	63,62	66,81	68,35	48,49	81,44	57,77	130,4	17,61	1356	1621		56,52	3,184	3,184	0	47,4	1,023	8,584	0	26,05
	9950	63,78	67	68,55	48,39	81,7	57,67	131,1	17,72	1353	1609		56,42	3,219	3,219	0	47,3	1,023	8,584	0	26,05
